Topic Id,Top Words...
0,règne serait cabinet vais начинается commandant voeu партию prétendre валахиной нее василий air усевшись excusez engrêlé xvii louis déborder одному
1,déjà toute conseil тоном fallait auprès шедшему désagréments vaisseaux torts clair croit после condé gueules envoient subissent peuples другому connu
2,attendez oubliez épousez прошлое extrême perdons état от участием прибавила disiez autrement nerveux hohenloe lichtenstein langeron начальники toucher baiser changerez
3,exprès nation affaire beaucoup товарищу cautères pologne simon главное ступеньки affreux meilleure г imagine joueur tourné bâtard avoue анне virulente
4,mieux prenez monsieur enfant allemand gloire trois désire officier parler ville fils donner contraire продолжал demande roi не occasion ним
5,dernière disais jamais бутлер invite генерал dessus doux danser notres fiez félicite départ prendre ciel martyr bourbons voeux наклоняя vicomte
6,de à ne qu сказал une он ai bien êtes cher moi dites dit faut homme chère se cette prince
7,corps kiril виконт bourienne офицер voyons plutôt cent adrienne société reg prie михайловне cérémonie intérêts catiche погоде отвечая convient caquet
8,sacrifices descendre serai russes dames tant femmes nos roi lambarras chacun simon horreur oeil лестницы всходя dérangez лучшую pouvais comptez
9,général venez vienne salon pétersbourg histoire donne espère глаза ainsi ami steppes soldat опять offre fille mêle что vos doute
