Topic Id,Top Words...
0,надо ваше ежели нибудь лучше сейчас отчего зачем без тогда думаю перед сиятельство куда знал ехать говорить пошел завтра должен
1,бог знает вперед раз двух любви вижу дай рукой первый хоть видел зубы взял кричал ясно сердито белые вероятно вокруг
2,сергей иванович указывая тысяч э иваныч старый верно т император прибавил стороны графу мост офицер быстро народа других напротив легко
3,очень отвечал левин граф руку улыбаясь улыбкой марья княжна степан проговорил аркадьич кити алексей видеть александрович ростов рад денисов крикнул
4,князь ни андрей всегда чтоб видимо князя василий давно несколько письмо желая пьера повторил пьеру бога положение продолжал разговор времени
5,чтò знаю ж наташа глаза лицо глядя чтó руки говорю графиня голову право потом под через время какой прибавил сделал
6,теперь ли говорил пьер хорошо ведь ах дело человек там тут можно где здесь никогда нельзя кажется нынче говорила делать
7,опять вдруг со после голосом голос будто время под соня человека слова двери закричал над почти лице тоном послышался проговорил
8,ничего сказать больше про понимаю продолжал анна говорить долли много хотел сделать глазами княгиня какое вронский хотела говорили слово отвечала
9,mon de est vous le la je ma il à cher chère наполеон pas du ce les ai père mais
